Bundle Id;Número de estrelas do comentário;Texto do comentário;Id do comentário;Data do comentário;Numero de estrelas do aplicativo
tursky.jan.nauc.sa.html5;4;Please put less adds it will certainly improve performance and user  experience;gp:AOqpTOGuEeTWRu2LgOZCij9R2LLQBjIsTqfjLUx6te_2egJo5JUlij-7aovUV0NFjnwWe-3jmqY2D40MB-Una6Y;2018-07-26T17:54:33.785Z;3.8
tursky.jan.nauc.sa.html5;5;It needs to be sexy;gp:AOqpTOEUTwXn0eu5cAWqLrKX_ZpmKU4rAVcH7aiDeNzdZ0lrPEpQyG3rsVo4M0Uf6hI3BeEIP7gKOsXC0u_2ZTE;2018-07-25T20:47:56.299Z;3.8
tursky.jan.nauc.sa.html5;5;I love it;gp:AOqpTOGVB-jke_hu2vVJP05amkrVGpnfcBPggdmnzt1gUu2R3wFE6Rnvw0FoYZVwK6zNoMsVzKAtT0zF4CJduTE;2018-07-16T19:57:09.729Z;3.8
tursky.jan.nauc.sa.html5;2;I hate ads in educational apps. And it is bit trashy too. But good job  nonetheless.;gp:AOqpTOHt_fP1m5lrr3XCJw2ITljQrFDxGcJtrBMBYcHY0Sjqhp5s6XnDNekn-B4cUtsUM1YmG-POZdF8229_HRk;2018-07-14T17:15:59.378Z;3.8
tursky.jan.nauc.sa.html5;1;This apps content isn't actually in the language you are trying to learn.  Everything you open is displayed as raw html.;gp:AOqpTOF1_eMt0qn2LlTBldvPnzbTza1N7wEVv6rHrtKu0VF3_fKWaorJAUKWPdsGm4WG2hrSzBUD9fWr3EPuoZM;2018-07-03T02:32:05.480Z;3.8
tursky.jan.nauc.sa.html5;5;I think some kind of fun should be added here, it's a boredom to learn by  reading. Games are good, tutorial videos are better. Anyway, thanks for  providing such a great information with no cost.;gp:AOqpTOE09x0NA3ap1RySSIx406bJoYW5jEVmZbMP7PoNvtmjHbcpEinTO-pRHOg42vLlPHJnlt04xuRnIqmUVTc;2018-07-01T06:55:48.908Z;3.8
tursky.jan.nauc.sa.html5;1;I really don't understand the point of a program like this. Because you  won't learn anything from this app. There aren't anything that "teaches"  you, merely topics and very simple explanations and copy-paste examples.  And you can barely practice coding from the crappy phone keyboard anyways.  So just get a keyboard-- even better, get a full pc, get some documents and  a good IDE for whatever language you're gonna code. Create a regular  schedule to study whenever you are free, every day between 2-4 PM, *FOR  EXAMPLE!* eventually you might understand a thing or two. And what you  learn will actually stay with you, instead trying to memorize every single  unimportant detail like this phone app tries to do. It's simply a cash grab  in my opinion.;gp:AOqpTOFFTQJ_yzeVsEdVYcbMGfVlXJQWpcxLakJG9KRLjSy4oXG8Undnp7m93G8MzkgAItI742daEzcPDhwgjUI;2018-06-02T03:39:20.147Z;3.8
tursky.jan.nauc.sa.html5;5;I love this app;gp:AOqpTOEPGyIvMnHKzAPWXsE_7045FpbLAWKBly2c39ZcmmgBCVO8lQN0YXgfoRbp41_y1BdTKlDlRz0bK5J0v0E;2018-05-23T07:39:43.337Z;3.8
tursky.jan.nauc.sa.html5;4;I like it;gp:AOqpTOH1vWo5ajaEH1X_cgM2IcY31oEs1ggltzqWMEZnSDmTzRzMbfZlLzKTex1H_1hC_49uuHQItEkxiDGKTF0;2018-05-22T20:40:33.927Z;3.8
tursky.jan.nauc.sa.html5;5;it is a best app thanks;gp:AOqpTOHuHkUGlAv_JpeSKh52LMmqi3SsB-K_vrTPDh0SC1nypx7_qbJ2uMPlbNuGglgzAqAQlcvRU5QP2XnA9GA;2018-05-20T08:11:46.700Z;3.8
tursky.jan.nauc.sa.html5;3;New version is just a huge pile of ads. Useful material is just buried  under them. On top of that I got non-english ads that (from what I  understood) wanted to charge me for erm... services. At least fix language,  not everyone lives in Slovenia. P.S. I understand that you have to make  money, but it is just too many ads.;gp:AOqpTOEkguTSuHYuzJt-oaymoYvKc_7UVS0WWOk4jLBdxDgMQidno57F5B3LZStZJRYiFwEv1oNK-dn7RhcNDOs;2018-04-30T12:06:35.512Z;3.8
tursky.jan.nauc.sa.html5;2;Update the app for 3018;gp:AOqpTOF9Q8xAJqNFLvgs4EiTrE-HTWSapw0udrWq8Fvjie-f9j1hOkdEXG2WjBc1tqBjjFiGmaS7sgvi_iiPbM4;2018-04-27T14:31:17.888Z;3.8
tursky.jan.nauc.sa.html5;5;I would like to report a problem. I can't see the end of the command line  in the tutorial. If the try to scroll, it would proceed to the next page of  the tutorial instead of viewing the last word of the line. Is there anyway  I can see all the commands like having the words to wrap around the  textbox? Thanks.;gp:AOqpTOFAud11bjv75kEezsQ3efpRQA_AqLLGv7j6jcmT4z7qY_VISHHmVkkwmDUUWk7-5Mo2XzXDxWi1TWM_4dc;2018-04-18T21:18:17.869Z;3.8
tursky.jan.nauc.sa.html5;5;It will help learn to write commands;gp:AOqpTOHLlBAiAR7ous3-BFx5gfWym0Bh4E9rOFaDdLRa7FS13I0PL7DrQo1mVCm9WOSUxgrEkj_0qt0gAaUmvxY;2018-03-17T08:01:29.108Z;3.8
tursky.jan.nauc.sa.html5;5;Please update mvc 5 as well add  xamarin;gp:AOqpTOGXCOWtt-cOF-aEDNrKs6KBq5kcp7-MUj94z-4h2RrWeUTGxB1gu8Vwp6MQxPpm7yVNSB2ENGf2Nxj8h34;2018-02-26T13:59:10.439Z;3.8
tursky.jan.nauc.sa.html5;5;Awesome;gp:AOqpTOFfetQVwCOoDS_P5GhIukFLFjdj0mHp-Cm97bg_jGiKhBzWoan-bgXwLZ-jhbMlKfcmrOSFTLw0fpLXhss;2018-02-23T06:00:41.344Z;3.8
