Bundle Id;PolaridadeAplicativo;numeroEstrelas;grupos
org.pbskids.scratchjr;0.81;4.1;3
tursky.jan.nauc.sa.html5;0.85;3.8;1
com.codepoint.learnangular;0.92;4.2;3
com.sololearn;0.97;4.8;2
morsecode.ort.com.morse;0.90;4.3;3
everyneedz.com.webdevelopment;0.94;4.1;3
learn.apps.htmlprogramming;1.00;4.5;3
com.quizmine.csref;0.91;4.3;3
ab.codelyf;0.91;4.4;3
com.dexterousdevelopers.cprogrammingtutorials;0.98;4.8;3
com.javahood.javadumps;1.00;4.6;3
com.SM_Developer;1.00;4.9;3
com.programming_with_java.fullmasti;0.50;4.1;3
com.appsfacto.hundred_one_c_problems;0.99;4.5;3
com.sololearn.php;0.96;4.5;1
com.bigknol.rapidphp360;0.93;4.8;3
com.area120.grasshopper;0.95;4.5;1
inventionsbyhamid.javaprograms;1.00;4.1;3
com.skyapper.learnaiwithpython;1.00;3.9;3
com.djm.offlinepythonnotes;0.94;4.4;3
com.ummaysoft.arduinoprogrammingnotebook;1.00;3.3;3
com.japangor.learntocode;0.90;4.0;3
com.sololearn.ruby;0.93;4.7;3
com.progforb.pfb;1.00;5.0;3
com.learn.tech.datascience;0.75;3.7;3
prueba.joseluismerlosguzman.prueba;0.00;3.3;3
com.myapplication.hp.learnjava;1.00;4.8;3
com.awwalsoft.javawebprogramming;0.95;4.4;3
com.kids.coding.connectdots;0.25;3.3;3
com.rahultamkhane.javaprogramming;1.00;4.4;3
com.allinex.sheerazahmed.javamcq1000;0.76;4.4;3
com.best.don.programmingbooks;0.82;4.2;3
com.lego.education.ev3;0.88;3.9;3
com.codepoint.learnandroid;0.93;4.1;3
com.lohriialo.swift;0.94;3.7;3
com.spyboy.javaprogramming;0.97;4.5;3
com.casatechno.www.TestYourProgrammingSkills;0.96;4.7;3
